Feature                                                         	  Mean Rank	1 Regrowth | No Regularization  	1 Regrowth | L2 Regularization  	1-4 Regrowths | No Regularization  	1-4 Regrowths | L2 Regularization
max_depth_setup_4                                               	      51.5 	0.190 (54)                      	0.015 (49)                      	0.190 (55)                         	0.011 (48)
node_count_setup_4                                              	      51.75	0.364 (63)                      	-0.118 (34)                     	0.546 (68)                         	-0.006 (42)
max_depth_constraints_0                                         	      52.25	0.035 (46)                      	0.047 (55)                      	0.092 (50)                         	0.074 (58)
node_count_terminal_1                                           	      53   	0.197 (55)                      	0.025 (52)                      	0.172 (54)                         	0.029 (51)
node_count_scoring_4                                            	      53.25	0.580 (67)                      	0.020 (50)                      	0.355 (62)                         	-0.108 (34)
pref_forall_external_forall_used_correct                        	      53.75	1.244 (78)                      	-0.081 (36)                     	0.920 (76)                         	-0.275 (25)
max_depth_scoring_4                                             	      54.25	0.185 (53)                      	0.062 (58)                      	0.068 (47)                         	0.087 (59)
disjoint_preferences_prop                                       	      55   	0.206 (56)                      	0.139 (66)                      	0.002 (42)                         	0.068 (56)
num_preferences_defined_3                                       	      55.75	-0.065 (40)                     	0.136 (65)                      	0.090 (49)                         	0.205 (69)
node_count_setup_1                                              	      56   	0.291 (61)                      	-0.001 (45)                     	0.414 (63)                         	0.053 (55)
pref_forall_external_forall_used_incorrect                      	      58.25	0.148 (52)                      	0.091 (60)                      	0.301 (58)                         	0.135 (63)
node_count_constraints_1                                        	      58.75	0.263 (60)                      	0.093 (61)                      	0.289 (57)                         	0.073 (57)
node_count_terminal_4                                           	      60.25	0.238 (58)                      	0.056 (57)                      	0.478 (65)                         	0.092 (61)
pref_forall_pref_forall_correct_types_incorrect_count           	      60.5 	0.233 (57)                      	0.133 (63)                      	0.258 (56)                         	0.151 (66)
node_count_constraints_4                                        	      62.75	0.781 (73)                      	-0.017 (41)                     	0.903 (75)                         	0.103 (62)
pref_forall_pref_forall_correct_arity_incorrect_count           	      63.75	0.332 (62)                      	0.141 (67)                      	0.351 (61)                         	0.149 (65)
max_depth_terminal_2                                            	      65.25	1.267 (79)                      	0.076 (59)                      	1.113 (79)                         	-0.001 (44)
disjoint_modal_predicates_prop                                  	      65.75	0.584 (68)                      	0.134 (64)                      	0.505 (67)                         	0.147 (64)
max_depth_scoring_3                                             	      66.5 	0.406 (64)                      	0.256 (73)                      	0.338 (59)                         	0.218 (70)
max_depth_constraints_4                                         	      67.5 	0.559 (66)                      	0.144 (68)                      	0.593 (69)                         	0.151 (67)
node_count_scoring_1                                            	      68   	0.251 (59)                      	0.394 (76)                      	0.343 (60)                         	0.459 (77)
section_without_pref_or_total_count_terminal                    	      69.5 	0.493 (65)                      	0.341 (75)                      	0.421 (64)                         	0.328 (74)
max_depth_setup_3                                               	      70   	0.773 (72)                      	0.172 (69)                      	0.769 (71)                         	0.161 (68)
node_count_terminal_3                                           	      70   	0.608 (69)                      	0.267 (74)                      	0.482 (66)                         	0.226 (71)
pref_forall_used_incorrect_count                                	      71   	0.682 (70)                      	0.246 (72)                      	0.738 (70)                         	0.267 (72)
max_depth_setup_2                                               	      73.5 	0.787 (74)                      	0.225 (70)                      	0.956 (77)                         	0.286 (73)
pref_forall_used_correct                                        	      77.25	0.770 (71)                      	0.698 (82)                      	0.882 (74)                         	0.742 (82)
disjoint_preferences_found                                      	      78   	0.810 (75)                      	0.516 (79)                      	1.044 (78)                         	0.618 (80)
num_preferences_defined_6                                       	      78.5 	0.999 (77)                      	0.758 (83)                      	0.822 (73)                         	0.674 (81)
redundant_scoring_terminal_expression_found                     	      79.5 	1.525 (81)                      	0.502 (78)                      	1.628 (81)                         	0.552 (78)
repeated_variable_type_in_either                                	      80   	1.764 (84)                      	0.461 (77)                      	1.797 (83)                         	0.447 (76)
node_count_setup_2                                              	      80   	1.385 (80)                      	0.609 (81)                      	1.354 (80)                         	0.556 (79)
identical_consecutive_seq_func_predicates_found                 	      82.75	1.738 (82)                      	0.597 (80)                      	2.215 (85)                         	0.824 (84)
node_count_setup_3                                              	      83   	1.741 (83)                      	0.849 (84)                      	1.784 (82)                         	0.822 (83)
max_depth_setup_1                                               	      84.75	1.874 (85)                      	0.915 (85)                      	2.025 (84)                         	0.956 (85)
pref_forall_pref_forall_correct_arity_incorrect                 	      86.5 	3.135 (86)                      	1.607 (87)                      	3.230 (86)                         	1.662 (87)
two_number_operation_found                                      	      86.5 	3.398 (87)                      	1.501 (86)                      	3.371 (87)                         	1.495 (86)
repeated_variables_found                                        	      89   	4.039 (88)                      	2.076 (89)                      	4.499 (89)                         	2.361 (90)
redundant_expression_found                                      	      89   	4.300 (90)                      	2.048 (88)                      	4.645 (90)                         	2.238 (88)
disjoint_seq_funcs_found                                        	      89   	4.145 (89)                      	2.138 (90)                      	4.458 (88)                         	2.296 (89)
pref_forall_used_incorrect                                      	      91   	5.560 (91)                      	2.859 (91)                      	5.486 (91)                         	2.825 (91)
pref_forall_pref_forall_correct_types_incorrect                 	      92   	6.434 (92)                      	2.921 (92)                      	6.579 (92)                         	3.082 (92)
