,trace_id,domain,arg_1_id,arg_2_id,first_index
0,730QTwZ02OR88CPpsmSI-gameplay-attempt-5-rerecorded,medium,building_8,Laptop|+03.04|+00.79|-02.28,3965
1,730QTwZ02OR88CPpsmSI-gameplay-attempt-5-rerecorded,medium,Laptop|+03.04|+00.79|-02.28,building_8,3965
