,trace_id,domain,first_state_index,?v0,?v1
40,jYnmaydkg4c0KmGFfgp3-gameplay-attempt-1-rerecorded,medium,5792,PyramidBlock|+01.13|+01.78|-02.89,west_wall
41,EeEZO5cBjEuKYTBYmfHX-createGame-rerecorded,many,447,LongCylinderBlock|-02.82|+00.19|-02.09,west_wall
42,Eqr08wgdjHiZUkX9dPEJ-gameplay-attempt-1-rerecorded,many,351,BridgeBlock|-02.92|+00.09|-02.52,north_wall
43,Eqr08wgdjHiZUkX9dPEJ-gameplay-attempt-1-rerecorded,many,2012,TriangleBlock|-02.95|+01.23|-02.69,south_wall
44,Eqr08wgdjHiZUkX9dPEJ-gameplay-attempt-1-rerecorded,many,2430,CubeBlock|-02.96|+01.26|-01.72,east_wall
45,Eqr08wgdjHiZUkX9dPEJ-gameplay-attempt-1-rerecorded,many,4008,PyramidBlock|-02.95|+01.61|-02.20,south_wall
46,Eqr08wgdjHiZUkX9dPEJ-preCreateGame-rerecorded,many,2386,CylinderBlock|-02.97|+01.62|-01.50,south_wall
47,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,141,CylinderBlock|+00.93|+01.61|-02.89,south_wall
48,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,441,PyramidBlock|+00.93|+01.78|-02.89,south_wall
49,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,1329,CylinderBlock|+01.13|+01.61|-02.89,east_wall
50,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,3751,CubeBlock|+00.50|+01.61|-02.91,west_wall
51,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,4125,CubeBlock|+00.70|+01.61|-02.91,west_wall
52,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,4510,CylinderBlock|+00.93|+01.61|-02.89,west_wall
53,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,5005,LongCylinderBlock|+00.31|+01.19|-02.89,west_wall
54,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,5695,PyramidBlock|+01.13|+01.78|-02.89,west_wall
55,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,6788,PyramidBlock|+00.93|+01.78|-02.89,west_wall
56,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,8178,LongCylinderBlock|+00.12|+01.19|-02.89,west_wall
57,vfh1MTEQorWXKy8jOP1x-createGame-rerecorded,few,97,CubeBlock|-00.23|+00.28|-02.83,south_wall
58,vfh1MTEQorWXKy8jOP1x-createGame-rerecorded,few,126,CubeBlock|-00.23|+00.28|-02.83,north_wall
59,5217Qbj8V5farCF3bBJT-gameplay-attempt-1-rerecorded,many,1250,BridgeBlock|-02.92|+00.09|-02.52,south_wall
60,nFX80fkvz9jp4TEfDQUl-preCreateGame-rerecorded,few,1164,CubeBlock|+00.20|+00.29|-02.83,south_wall
61,nFX80fkvz9jp4TEfDQUl-preCreateGame-rerecorded,few,4527,CubeBlock|-00.02|+00.28|-02.83,south_wall
62,qSbsQv2jOptuDovotsIE-preCreateGame-rerecorded,medium,233,CubeBlock|+00.70|+01.61|-02.91,south_wall
63,5C0xygoyrz8PTdYR8xff-gameplay-attempt-1-rerecorded,few,1007,CubeBlock|-00.02|+00.28|-02.83,west_wall
64,5IuRnM4sMvHnyLOcBIuC-gameplay-attempt-4-rerecorded,medium,1248,CylinderBlock|+00.93|+01.61|-02.89,south_wall
65,6ZjBeRCvHxG05ORmhInj-preCreateGame-rerecorded,few,2604,CubeBlock|-00.02|+00.28|-02.83,north_wall
66,FyGQn1qJCLTLU1hfQfZ2-gameplay-attempt-1-rerecorded,many,1200,TallRectBlock|-02.95|+02.05|-02.72,south_wall
67,FyGQn1qJCLTLU1hfQfZ2-gameplay-attempt-1-rerecorded,many,1202,TallRectBlock|-02.95|+02.05|-02.52,south_wall
68,GF4TTr6H2CftJ4nrR8oj-gameplay-attempt-1-rerecorded,medium,1305,CylinderBlock|+01.13|+01.61|-02.89,south_wall
69,GF4TTr6H2CftJ4nrR8oj-gameplay-attempt-1-rerecorded,medium,1386,LongCylinderBlock|+00.12|+01.19|-02.89,south_wall
70,GF4TTr6H2CftJ4nrR8oj-preCreateGame-rerecorded,medium,915,CylinderBlock|+00.93|+01.61|-02.89,south_wall
71,GF4TTr6H2CftJ4nrR8oj-preCreateGame-rerecorded,medium,1045,CylinderBlock|+01.13|+01.61|-02.89,south_wall
72,HMosyugAD4iHS8V6ajD6-gameplay-attempt-1-rerecorded,many,1434,CubeBlock|-02.99|+01.26|-01.49,south_wall
73,HMosyugAD4iHS8V6ajD6-gameplay-attempt-1-rerecorded,many,1475,CubeBlock|-02.96|+01.26|-01.72,south_wall
74,HMosyugAD4iHS8V6ajD6-gameplay-attempt-1-rerecorded,many,1586,CubeBlock|-02.97|+01.26|-01.94,south_wall
75,cdo6CztpMH0It12THBAy-preCreateGame-rerecorded,many,3548,LongCylinderBlock|-02.82|+00.19|-02.09,west_wall
76,cdo6CztpMH0It12THBAy-preCreateGame-rerecorded,many,3640,LongCylinderBlock|-02.82|+00.19|-02.09,south_wall
77,cpECU5M34mXo0nVEGZka-gameplay-attempt-1-rerecorded,few,90,CubeBlock|+00.20|+00.29|-02.83,west_wall
78,cpECU5M34mXo0nVEGZka-gameplay-attempt-1-rerecorded,few,456,CubeBlock|-00.02|+00.28|-02.83,north_wall
79,cpECU5M34mXo0nVEGZka-gameplay-attempt-1-rerecorded,few,930,CubeBlock|-00.02|+00.10|-02.83,west_wall
80,cpECU5M34mXo0nVEGZka-gameplay-attempt-1-rerecorded,few,1493,CubeBlock|-00.23|+00.28|-02.83,south_wall
81,cpECU5M34mXo0nVEGZka-gameplay-attempt-1-rerecorded,few,2008,CubeBlock|+00.20|+00.10|-02.83,south_wall
82,d3UwxDa5ebWgG9emiJN7-preCreateGame-rerecorded,many,913,TriangleBlock|-02.94|+01.23|-02.46,west_wall
83,EB9bKJMBxNqVaRtrXDuO-createGame-rerecorded,medium,4553,CubeBlock|+00.70|+01.61|-02.91,south_wall
84,EB9bKJMBxNqVaRtrXDuO-createGame-rerecorded,medium,24876,BridgeBlock|+00.63|+01.10|-02.91,south_wall
